id,objectId,Make,Year,Model,Category1,Category2,Category3
104,4CEhElb4Kl,Acura,2011,TSX,Sedan, Wagon,
105,yToD8X8tNy,Acura,2012,RDX,SUV,,
106,nDpcCCHZNM,Acura,2012,TSX,Wagon, Sedan,
107,iicy422BJp,Acura,2012,MDX,SUV,,
108,nbUJ2Ezx4i,Acura,2012,RL,Sedan,,
109,DQLWLc5dlF,Acura,2012,TL,Sedan,,
110,9ecnS3GF1I,Acura,2012,ZDX,SUV,,
111,e1NN32lr7o,Acura,2013,MDX,SUV,,
112,S954IO69iC,Acura,2013,ILX,Sedan,,
113,gDgBToJZI9,Acura,2013,TSX,Sedan, Wagon,
114,XH6x2JIgCk,Acura,2013,TL,Sedan,,
115,83rYB549XL,Acura,2013,RDX,SUV,,
116,UDCJevVrtC,Acura,2013,ZDX,SUV,,
117,BD3ARqLAnl,Acura,2014,ILX,Sedan,,
118,Foi50Of5Ee,Acura,2014,RDX,SUV,,
119,bHrD8xsZsW,Acura,2014,MDX,SUV,,
120,6kMSoND8a0,Acura,2014,TSX,Sedan, Wagon,
121,mV7CFl7zOm,Acura,2014,RLX,Sedan,,
122,UnFNDMyCBh,Acura,2014,TL,Sedan,,
123,vTH5Cy2Ng9,Acura,2014,RLX Sport Hybrid,Sedan,,
124,4UvGutuV1a,Acura,2015,TLX,Sedan,,
125,vSAIXwtHoC,Acura,2015,MDX,SUV,,
126,Uw7591iUpL,Acura,2015,RLX,Sedan,,
127,aoeEhOzTE7,Acura,2015,RDX,SUV,,
128,KA4VRBKxgz,Acura,2015,ILX,Sedan,,
129,na7HAX9CeF,Acura,2016,RLX,Sedan,,
130,DBNzpHIMKN,Acura,2016,TLX,Sedan,,
131,J2Fv3i4SfB,Acura,2016,RLX Sport Hybrid,Sedan,,
132,ZoUrESwNJS,Acura,2016,ILX,Sedan,,
133,rr4oGsioCL,Acura,2016,MDX,SUV,,
134,RmirlV6K6F,Acura,2016,RDX,SUV,,
135,XIJ24J5wMC,Acura,2017,MDX Sport Hybrid,SUV,,
136,XR9fxzt1bd,Acura,2017,MDX,SUV,,
137,0M0rnJQ2SI,Acura,2017,RDX,SUV,,
138,MzfaDZLvJD,Acura,2017,NSX,Coupe,,
139,VU2UAtnfLj,Acura,2017,ILX,Sedan,,
140,0Ggx82KZt3,Acura,2017,RLX Sport Hybrid,Sedan,,
141,FI9gNdNHgC,Acura,2017,RLX,Sedan,,
142,AuOXCoQOxK,Acura,2017,TLX,Sedan,,
143,viau0hB7Ia,Acura,2018,ILX,Sedan,,
144,JJoNEtHXQ4,Acura,2018,RLX,Sedan,,
145,3Fep0ntHSg,Acura,2018,TLX,Sedan,,
146,shtDFvCuiL,Acura,2018,MDX,SUV,,
147,8D84lJZhZV,Acura,2018,RLX Sport Hybrid,Sedan,,
148,6Uiz6dMgqS,Acura,2018,RDX,SUV,,
149,5w6TZeReGG,Acura,2018,MDX Sport Hybrid,SUV,,
150,ne1W06dL3N,Acura,2018,NSX,Coupe,,
151,k4x1WAXEZ9,Acura,2019,MDX Sport Hybrid,SUV,,
152,xiuaACVHIm,Acura,2019,RLX Sport Hybrid,Sedan,,
153,uqBo3T1sHU,Acura,2019,MDX,SUV,,
154,HcLCgxYpnA,Acura,2019,NSX,Coupe,,
155,bOlyekNqwt,Acura,2019,RDX,SUV,,
156,r9nUwoh749,Acura,2019,TLX,Sedan,,
157,mTQ0bSYkrY,Acura,2019,ILX,Sedan,,
158,Ob5YiBNNIn,Acura,2019,RLX,Sedan,,
159,rDkHakOBKP,Acura,2020,RLX,Sedan,,
160,5OEvsF1R9k,Acura,2020,TLX,Sedan,,
161,9eRGwnViia,Acura,2020,MDX,SUV,,
162,YZj6RLht79,Acura,2020,RDX,SUV,,
163,BMS5pPvkey,Acura,2021,ILX,Sedan,,
164,bx6tussPjJ,Acura,2021,RDX,SUV,,
165,6vzViMFuFb,Acura,2021,TLX,Sedan,,
166,6DbFpwGtOe,Acura,2022,MDX,SUV,,
167,dZSQkipftO,Alfa Romeo,1992,164,Sedan,,
168,w8QUCRK0U3,Alfa Romeo,1992,Spider,Convertible,,
169,poeMxzWDLa,Alfa Romeo,1993,Spider,Convertible,,
170,dn11HQEq8E,Alfa Romeo,1993,164,Sedan,,
171,sUbS3ei3Mh,Alfa Romeo,1994,Spider,Convertible,,
